location,protocol,direction,rep,sec,Mbps
Location1,TCP,DL,1,0.0,22.0
Location1,TCP,DL,1,1.0,26.2
Location1,TCP,DL,1,2.0,26.2
Location1,TCP,DL,1,3.0,25.2
Location1,TCP,DL,1,4.0,26.2
Location1,TCP,DL,1,5.0,26.2
Location1,TCP,DL,1,6.0,27.3
Location1,TCP,DL,1,7.0,25.2
Location1,TCP,DL,1,8.0,25.2
Location1,TCP,DL,1,9.0,26.2
Location1,TCP,DL,1,10.0,24.1
Location1,TCP,DL,1,11.0,28.3
Location1,TCP,DL,1,12.0,21.0
Location1,TCP,DL,1,13.0,18.9
Location1,TCP,DL,1,14.0,21.0
Location1,TCP,DL,1,15.0,22.0
Location1,TCP,DL,1,16.0,26.2
Location1,TCP,DL,1,17.0,25.2
Location1,TCP,DL,1,18.0,25.2
Location1,TCP,DL,1,19.0,11.5
Location1,TCP,DL,2,0.0,19.9
Location1,TCP,DL,2,1.0,27.3
Location1,TCP,DL,2,2.0,25.2
Location1,TCP,DL,2,3.0,25.2
Location1,TCP,DL,2,4.0,26.2
Location1,TCP,DL,2,5.0,24.1
Location1,TCP,DL,2,6.0,21.0
Location1,TCP,DL,2,7.0,25.2
Location1,TCP,DL,2,8.0,21.0
Location1,TCP,DL,2,9.0,24.1
Location1,TCP,DL,2,10.0,24.1
Location1,TCP,DL,2,11.0,21.0
Location1,TCP,DL,2,12.0,19.9
Location1,TCP,DL,2,13.0,17.8
Location1,TCP,DL,2,14.0,11.5
Location1,TCP,DL,2,15.0,1.05
Location1,TCP,DL,2,16.0,6.29
Location1,TCP,DL,2,17.0,36.7
Location1,TCP,DL,2,18.0,60.8
Location1,TCP,DL,2,19.0,6.29
Location1,TCP,DL,3,0.0,17.8
Location1,TCP,DL,3,1.0,25.2
Location1,TCP,DL,3,2.0,22.0
Location1,TCP,DL,3,3.0,23.1
Location1,TCP,DL,3,4.0,21.0
Location1,TCP,DL,3,5.0,23.1
Location1,TCP,DL,3,6.0,22.0
Location1,TCP,DL,3,7.0,25.2
Location1,TCP,DL,3,8.0,22.0
Location1,TCP,DL,3,9.0,24.1
Location1,TCP,DL,3,10.0,21.0
Location1,TCP,DL,3,11.0,23.0
Location1,TCP,DL,3,12.0,24.1
Location1,TCP,DL,3,13.0,22.0
Location1,TCP,DL,3,14.0,7.33
Location1,TCP,DL,3,15.0,0.0
Location1,TCP,DL,3,16.0,24.1
Location1,TCP,DL,3,17.0,32.5
Location1,TCP,DL,3,18.0,41.9
Location1,TCP,DL,3,19.0,0.0
Location1,TCP,UL,1,0.0,181.0
Location1,TCP,UL,1,1.0,56.6
Location1,TCP,UL,1,2.0,32.5
Location1,TCP,UL,1,3.0,41.9
Location1,TCP,UL,1,4.0,57.7
Location1,TCP,UL,1,5.0,27.3
Location1,TCP,UL,1,6.0,19.9
Location1,TCP,UL,1,7.0,52.4
Location1,TCP,UL,1,8.0,30.4
Location1,TCP,UL,1,9.0,11.5
Location1,TCP,UL,1,10.0,52.4
Location1,TCP,UL,1,11.0,30.4
Location1,TCP,UL,1,12.0,39.8
Location1,TCP,UL,1,13.0,27.3
Location1,TCP,UL,1,14.0,23.0
Location1,TCP,UL,1,15.0,47.2
Location1,TCP,UL,1,16.0,20.9
Location1,TCP,UL,1,17.0,44.1
Location1,TCP,UL,1,18.0,22.0
Location1,TCP,UL,1,19.0,16.9
Location1,TCP,UL,2,0.0,220.0
Location1,TCP,UL,2,1.0,26.2
Location1,TCP,UL,2,2.0,62.9
Location1,TCP,UL,2,3.0,49.3
Location1,TCP,UL,2,4.0,10.5
Location1,TCP,UL,2,5.0,17.8
Location1,TCP,UL,2,6.0,16.8
Location1,TCP,UL,2,7.0,0.0
Location1,TCP,UL,2,8.0,14.7
Location1,TCP,UL,2,9.0,25.2
