location,ts,rsrp_ovl,cqi,dl_ri,dl_mcs,dl_brate,dl_nof_ok,dl_nof_nok,dl_error_rate,dl_bs,dl_nof_prbs,dl_olla,pusch_snr_db,pusch_rsrp_db,ul_ri,ul_mcs,ul_brate,ul_nof_ok,ul_nof_nok,ul_error_rate,ul_nof_prbs,ul_olla,bsr,sr_count,ta,last_phr,pusch_invalid_harqs,pusch_invalid_csis,f0f1_invalid_harqs,f2f3f4_invalid_harqs,max_pdsch_distance,max_pusch_distance,avg_crc_delay,rep_key,protocol,direction,rep,sec
Location1,2026-08-03 17:40:00.771859,0,15.0,1.0,19.0,27000000.0,1125.0,75.0,6.0,740000.0,59046.0,-3.994,28.1,-3.4,1.0,27.0,768000.0,81.0,6.0,6.0,1060.0,-1.284,0.0,28.0,2.42e-07,-3.0,0.0,0.0,0.0,0.0,0.001,0.027,0.00401,Location1|TCP|DL|1,TCP,DL,1,5
Location1,2026-08-03 17:40:01.771788,0,15.0,1.0,19.0,27200000.0,1145.0,55.0,4.0,893000.0,59046.0,-3.994,28.7,-1.8,1.0,27.0,662000.0,90.0,0.0,0.0,689.0,-1.284,276.0,35.0,2.39e-07,-1.0,0.0,0.0,0.0,0.0,0.001,0.025,0.004,Location1|TCP|DL|1,TCP,DL,1,6
Location1,2026-08-03 17:40:02.771844,0,15.0,1.0,19.0,27100000.0,1136.0,64.0,5.0,1010000.0,59046.0,-3.994,28.6,-1.7,1.0,27.0,540000.0,79.0,1.0,1.0,557.0,-1.383,0.0,40.0,2.46e-07,-1.0,0.0,0.0,0.0,0.0,0.001,0.025,0.004,Location1|TCP|DL|1,TCP,DL,1,7
Location1,2026-08-03 17:40:03.771811,0,15.0,1.0,19.0,27100000.0,1143.0,57.0,4.0,1040000.0,59037.0,-3.994,28.5,-1.2,1.0,27.0,560000.0,81.0,0.0,0.0,584.0,-1.383,142.0,46.0,2.51e-07,-1.0,0.0,0.0,0.0,0.0,0.001,0.025,0.004,Location1|TCP|DL|1,TCP,DL,1,8
Location1,2026-08-03 17:40:04.771843,0,15.0,1.0,19.0,27200000.0,1141.0,59.0,4.0,1050000.0,59046.0,-3.994,28.6,-1.1,1.0,27.0,544000.0,79.0,0.0,0.0,561.0,-1.383,74.0,39.0,2.44e-07,-1.0,0.0,0.0,0.0,0.0,0.001,0.025,0.004,Location1|TCP|DL|1,TCP,DL,1,9
Location1,2026-08-03 17:40:05.771808,0,15.0,1.0,19.0,27200000.0,1149.0,51.0,4.0,1060000.0,59046.0,-3.994,28.4,-1.6,1.0,27.0,564000.0,82.0,0.0,0.0,582.0,-1.383,198.0,39.0,2.65e-07,0.0,0.0,0.0,0.0,0.0,0.001,0.025,0.004,Location1|TCP|DL|1,TCP,DL,1,10
Location1,2026-08-03 17:40:06.771809,0,15.0,1.0,19.0,27300000.0,1157.0,43.0,3.0,1100000.0,59046.0,-3.994,28.4,-2.9,1.0,27.0,563000.0,80.0,0.0,0.0,581.0,-1.383,142.0,34.0,2.65e-07,0.0,0.0,0.0,0.0,0.0,0.001,0.025,0.004,Location1|TCP|DL|1,TCP,DL,1,11
Location1,2026-08-03 17:40:07.771846,0,15.0,1.0,19.0,27000000.0,1130.0,70.0,5.0,1110000.0,59037.0,-3.994,28.2,-4.1,1.0,27.0,569000.0,81.0,0.0,0.0,592.0,-1.383,1450.0,42.0,2.4500000000000004e-07,-6.0,0.0,0.0,2.0,0.0,0.001,0.025,0.004,Location1|TCP|DL|1,TCP,DL,1,12
Location1,2026-08-03 17:40:08.771835,0,14.0,1.0,17.0,23100000.0,1109.0,91.0,7.0,1330000.0,58941.0,-3.994,28.1,-3.1,1.0,27.0,547000.0,79.0,2.0,2.0,568.0,-1.581,0.0,43.0,2.34e-07,-6.0,0.0,0.0,0.0,0.0,0.001,0.025,0.004,Location1|TCP|DL|1,TCP,DL,1,13
Location1,2026-08-03 17:40:09.771838,0,13.0,1.0,15.0,20700000.0,1142.0,58.0,4.0,1560000.0,59046.0,-3.994,28.3,-3.4,1.0,27.0,583000.0,86.0,0.0,0.0,602.0,-1.581,0.0,50.0,2.3800000000000001e-07,-11.0,0.0,0.0,0.0,0.0,0.001,0.02,0.004,Location1|TCP|DL|1,TCP,DL,1,14
