tech,location,protocol,direction,ng_s1_setup_ms,rrc_setup_ms,rrc_req_to_setup_ms,auth_nas_ms,security_ms,ics_ms,reconf_ms,pdu_session_ms,total_attach_ms,prach_to_session_ms,n_prach,n_nas_ul,n_nas_dl,n_ue_ctx_release
4G,Loc_1_2m,TCP,DL,1.29,26.13,0.57,53.6,26.79,126.8,27.3,126.8,206.61,218.23,1,2,2,0
4G,Loc_1_2m,TCP,UL,1.93,25.16,0.6,45.11,35.32,95.48,28.34,95.48,165.83,178.4,1,2,2,0
4G,Loc_1_2m,UDP,DL,1.93,35.9,0.62,43.96,35.49,95.75,27.54,95.75,175.69,188.23,1,2,2,0
4G,Loc_1_2m,UDP,UL,2.02,35.87,0.46,44.27,35.18,95.41,28.91,95.41,175.64,188.25,1,2,2,0
4G,Loc_2_5m,TCP,DL,2.13,35.89,0.54,24.51,35.57,95.81,28.32,95.81,156.28,167.92,1,2,2,0
4G,Loc_2_5m,TCP,UL,2.01,36.04,0.6,2.13,61.7,138.44,25.38,138.44,176.66,188.25,1,0,0,0
4G,Loc_2_5m,UDP,DL,2.01,35.91,0.66,2.13,37.5,97.75,27.36,97.75,135.86,148.48,1,0,0,0
4G,Loc_2_5m,UDP,UL,2.24,35.77,0.55,2.14,38.54,118.12,28.29,118.12,156.1,167.72,1,0,0,0
4G,Loc_3_10m,TCP,DL,1.9,36.8,0.62,44.61,34.8,95.06,27.46,95.06,176.54,188.1,1,2,2,0
4G,Loc_3_10m,TCP,UL,1.94,36.84,0.7,2.23,37.49,117.13,28.42,117.13,156.26,167.83,1,0,0,0
4G,Loc_3_10m,UDP,DL,2.01,35.8,0.61,2.13,38.57,118.14,28.41,118.14,156.12,167.78,1,0,0,0
4G,Loc_3_10m,UDP,UL,1.8,35.95,0.76,2.35,37.33,117.91,28.23,117.91,156.28,168.87,1,0,0,0
5G,Loc_1_2m,TCP,DL,9.5,28.99,0.17,177.62,29.74,80.12,32.08,50.65,496.51,507.51,1,5,4,0
5G,Loc_1_2m,TCP,UL,9.92,39.07,0.16,2.42,34.79,97.65,44.22,62.12,4171.53,4182.48,3,5,2,5
5G,Loc_1_2m,UDP,DL,9.34,39.04,0.18,2.68,17.16,77.42,42.16,76.78,4169.03,4180.0,3,8,2,5
5G,Loc_1_2m,UDP,UL,8.17,38.95,0.2,2.63,17.19,57.52,21.61,44.68,4084.06,4095.12,3,8,2,5
5G,Loc_2_5m,TCP,DL,7.98,29.04,0.17,1.29,18.61,48.72,30.03,47.99,296.53,307.62,1,2,1,0
5G,Loc_2_5m,TCP,UL,8.62,38.99,0.17,1.15,18.78,46.58,34.71,46.4,318.98,330.01,1,2,1,0
5G,Loc_2_5m,UDP,DL,8.42,29.09,0.17,2.56,17.14,57.46,21.5,,,,1,1,1,0
5G,Loc_2_5m,UDP,UL,8.63,29.03,0.17,2.51,17.35,57.64,22.15,,,,1,1,1,0
5G,Loc_3_10m,TCP,DL,8.66,19.0,0.19,1.05,18.74,56.65,43.54,62.11,326.49,337.58,1,2,1,0
5G,Loc_3_10m,TCP,UL,8.56,46.59,0.17,2.47,37.35,150.13,29.53,,,,1,1,1,0
5G,Loc_3_10m,UDP,DL,8.05,36.44,0.17,2.51,37.32,97.53,42.62,,,,1,1,1,0
5G,Loc_3_10m,UDP,UL,20.12,29.06,0.18,2.62,17.15,57.5,22.17,,,,1,1,1,0
