location,protocol,direction,rep,file,start_utc,n_intervals,mean_Mbps_5s_on,mean_Mbps_full,min_Mbps,max_Mbps,sender_Mbps,receiver_Mbps,sender_MB,receiver_MB,sender_retr,receiver_jitter_ms,receiver_lost,receiver_total_dg,receiver_loss_pct,sender_jitter_ms,sender_lost,sender_total_dg,sender_loss_pct,cmd
Loc1_2m,TCP,DL,1,TCP_DL1.txt,2026-08-02T15:13:15,20,13.96,14.56,9.44,19.9,16.0,14.6,38.3,34.8,491,,,,,,,,,iperf3 -c 10.45.0.1 -p 5201 -t 20 -i 1 -P 8 -R -d -V
Loc1_2m,TCP,DL,2,TCP_DL2.txt,2026-08-02T15:13:43,20,18.17,17.93,15.7,21.0,19.6,17.9,46.9,42.8,644,,,,,,,,,iperf3 -c 10.45.0.1 -p 5201 -t 20 -i 1 -P 8 -R -d -V
Loc1_2m,TCP,DL,3,TCP_DL3.txt,2026-08-02T15:14:12,20,16.78,17.04,0.0,40.9,21.3,17.1,51.3,40.8,1263,,,,,,,,,iperf3 -c 10.45.0.1 -p 5201 -t 20 -i 1 -P 8 -R -d -V
Loc1_2m,TCP,UL,1,TCP_UL1.txt,2026-08-02T15:14:44,20,17.38,28.36,0.0,49.3,23.6,12.7,72.5,42.1,2,,,,,,,,,iperf3 -c 10.45.0.1 -p 5201 -t 20 -i 1 -P 8 -d -V
Loc1_2m,TCP,UL,2,TCP_UL2.txt,2026-08-02T15:15:19,20,17.57,28.5,0.0,62.8,22.0,12.1,71.2,40.1,4,,,,,,,,,iperf3 -c 10.45.0.1 -p 5201 -t 20 -i 1 -P 8 -d -V
Loc1_2m,TCP,UL,3,TCP_UL3.txt,2026-08-02T15:15:55,20,16.78,26.7,0.0,46.2,20.0,12.9,71.2,47.1,9,,,,,,,,,iperf3 -c 10.45.0.1 -p 5201 -t 20 -i 1 -P 8 -d -V
Loc1_2m,UDP,DL,1,UDP_DL1.txt,2026-08-02T15:16:36,20,37.8,35.92,37.0,38.1,800.0,35.9,1880.0,85.6,,2.772,1323499,1390091,89.0,0.0,0,0,0.0,iperf3 -c 10.45.0.1 -p 5201 -t 20 -i 1 -P 8 -R -u -b 100M -d -V
Loc1_2m,UDP,DL,2,UDP_DL2.txt,2026-08-02T15:17:03,20,37.16,35.4,31.5,38.4,800.0,35.4,1860.0,84.4,,2.917,1322773,1388430,89.0,0.0,0,0,0.0,iperf3 -c 10.45.0.1 -p 5201 -t 20 -i 1 -P 8 -R -u -b 100M -d -V
Loc1_2m,UDP,DL,3,UDP_DL3.txt,2026-08-02T15:17:32,20,37.71,37.68,37.2,38.2,800.0,37.7,1860.0,89.9,,3.283,1320876,1390770,89.0,0.0,0,0,0.0,iperf3 -c 10.45.0.1 -p 5201 -t 20 -i 1 -P 8 -R -u -b 100M -d -V
Loc1_2m,UDP,UL,1,UDP_UL1.txt,2026-08-02T15:18:13,20,12.59,14.07,5.88,20.7,14.0,13.8,34.0,34.0,,11.198,0,26483,0.0,0.0,0,26483,0.0,iperf3 -c 10.45.0.1 -p 5201 -t 20 -i 1 -P 8 -u -b 100M -d -V
Loc1_2m,UDP,UL,2,UDP_UL2.txt,2026-08-02T15:18:39,20,17.63,17.93,11.7,25.4,17.9,17.8,43.3,43.3,,7.659,0,33666,0.0,0.0,0,33666,0.0,iperf3 -c 10.45.0.1 -p 5201 -t 20 -i 1 -P 8 -u -b 100M -d -V
Loc1_2m,UDP,UL,3,UDP_UL3.txt,2026-08-02T15:19:08,20,13.25,14.58,5.44,19.2,14.5,14.2,35.5,35.1,,14.018,0,27603,0.0,0.0,0,27603,0.0,iperf3 -c 10.45.0.1 -p 5201 -t 20 -i 1 -P 8 -u -b 100M -d -V
Loc2_5m,TCP,DL,1,iPerf3_20260802_163241_v2.2_1.txt,2026-08-02T15:32:41,20,23.71,22.86,18.9,27.3,23.6,22.9,56.3,54.5,778,,,,,,,,,iperf3 -c 10.45.0.1 -p 5201 -t 20 -i 1 -P 8 -R -d -V
Loc2_5m,TCP,DL,2,iPerf3_20260802_163308_v2.2_1.txt,2026-08-02T15:33:08,20,10.48,11.99,0.0,16.8,21.0,12.0,50.2,28.6,1935,,,,,,,,,iperf3 -c 10.45.0.1 -p 5201 -t 20 -i 1 -P 8 -R -d -V
Loc2_5m,TCP,DL,3,iPerf3_20260802_163356_v2.2_1.txt,2026-08-02T15:33:56,20,9.09,8.65,1.05,15.7,17.8,8.65,42.5,20.6,325,,,,,,,,,iperf3 -c 10.45.0.1 -p 5201 -t 20 -i 1 -P 8 -R -d -V
Loc2_5m,TCP,DL,4,iPerf3_20260802_163450_v2.2_1.txt,2026-08-02T15:34:50,20,24.19,22.23,19.9,26.2,27.3,22.2,65.2,53.0,335,,,,,,,,,iperf3 -c 10.45.0.1 -p 5201 -t 20 -i 1 -P 8 -R -d -V
