location,ts,rsrp_ovl,ue,rnti,cqi,dl_ri,dl_mcs,dl_brate,dl_nof_ok,dl_nof_nok,dl_error_rate,dl_bs,dl_nof_prbs,dl_olla,pusch_snr_db,pusch_rsrp_db,ul_ri,ul_mcs,ul_brate,ul_nof_ok,ul_nof_nok,ul_error_rate,ul_nof_prbs,ul_olla,bsr,sr_count,ta,last_phr,pusch_invalid_harqs,pusch_invalid_csis,f0f1_invalid_harqs,f2f3f4_invalid_harqs,f2f3f4_invalid_csis,max_pdsch_distance,max_pusch_distance,avg_crc_delay,avg_pusch_harq_delay,avg_pucch_harq_delay,avg_sr_to_pusch_delay,dist,rep_key,protocol,direction,rep,sec
Loc1_2m,2026-08-02 15:13:20.010560,0,0.0,0x4601,13.0,1.0,15.0,20600000.0,1125.0,75.0,6.0,360000.0,59037.0,-3.994,28.5,-0.5,1.0,27.0,654000.0,88.0,1.0,1.0,688.0,-5.0,0.0,34.0,2.58e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.027,0.004,0.004,0.00396,0.0075,2,Loc1_2m|TCP|DL|1,TCP,DL,1,5
Loc1_2m,2026-08-02 15:13:21.010514,0,0.0,0x4601,13.0,1.0,15.0,20200000.0,1112.0,88.0,7.0,396000.0,59046.0,-3.994,26.5,-1.9,1.0,26.0,616000.0,85.0,6.0,6.0,799.0,-4.998,142.0,32.0,2.56e-07,2.0,0.0,0.0,0.0,0.0,0.0,0.001,0.027,0.004,0.004,0.00396,0.00742,2,Loc1_2m|TCP|DL|1,TCP,DL,1,6
Loc1_2m,2026-08-02 15:13:22.010558,0,0.0,0x4601,11.0,1.0,12.0,15500000.0,1115.0,85.0,7.0,342000.0,59046.0,-3.994,21.3,-5.0,1.0,19.0,553000.0,89.0,11.0,11.0,1438.0,-4.983,535.0,21.0,3.01e-07,6.0,0.0,0.0,0.0,0.0,0.0,0.001,0.03,0.004,0.004,0.00396,0.0075,2,Loc1_2m|TCP|DL|1,TCP,DL,1,7
Loc1_2m,2026-08-02 15:13:23.010483,0,0.0,0x4601,11.0,1.0,11.0,14400000.0,1133.0,67.0,5.0,394000.0,59046.0,-3.994,26.0,-3.8,1.0,26.0,467000.0,83.0,4.0,4.0,507.0,-4.981,0.0,30.0,3.1200000000000004e-07,7.0,0.0,0.0,0.0,0.0,0.0,0.001,0.027,0.004,0.004,0.00396,0.00742,2,Loc1_2m|TCP|DL|1,TCP,DL,1,8
Loc1_2m,2026-08-02 15:13:24.010541,0,0.0,0x4601,11.0,1.0,11.0,14600000.0,1127.0,73.0,6.0,341000.0,59037.0,-3.994,25.2,-4.2,1.0,25.0,427000.0,72.0,15.0,17.0,604.0,,276.0,24.0,3.0000000000000004e-07,6.0,0.0,0.0,0.0,0.0,0.0,0.001,0.082,0.004,0.004,0.00396,0.0075,2,Loc1_2m|TCP|DL|1,TCP,DL,1,9
Loc1_2m,2026-08-02 15:13:25.010469,0,0.0,0x4601,11.0,1.0,11.0,14400000.0,1133.0,67.0,5.0,436000.0,59046.0,-3.994,26.4,-2.2,1.0,26.0,416000.0,73.0,4.0,5.0,446.0,-4.977,0.0,40.0,2.73e-07,4.0,0.0,0.0,0.0,0.0,0.0,0.001,0.025,0.004,0.004,0.00396,0.0075,2,Loc1_2m|TCP|DL|1,TCP,DL,1,10
Loc1_2m,2026-08-02 15:13:26.010531,0,0.0,0x4601,11.0,1.0,11.0,15000000.0,1139.0,61.0,5.0,444000.0,59046.0,-3.994,24.7,-4.9,1.0,25.0,364000.0,83.0,12.0,12.0,474.0,-4.979,535.0,27.0,2.6e-07,3.0,0.0,0.0,0.0,0.0,0.0,0.001,0.027,0.004,0.004,0.00396,0.0075,2,Loc1_2m|TCP|DL|1,TCP,DL,1,11
Loc1_2m,2026-08-02 15:13:27.010584,0,0.0,0x4601,11.0,1.0,11.0,15500000.0,1141.0,59.0,4.0,553000.0,59046.0,-3.994,25.3,-4.1,1.0,26.0,393000.0,79.0,7.0,8.0,448.0,-4.988,0.0,33.0,2.2e-07,2.0,0.0,0.0,0.0,0.0,0.0,0.001,0.03,0.004,0.004,0.00396,0.0075,2,Loc1_2m|TCP|DL|1,TCP,DL,1,12
Loc1_2m,2026-08-02 15:13:28.010511,0,0.0,0x4601,11.0,1.0,10.0,13900000.0,1126.0,74.0,6.0,608000.0,59037.0,-3.994,20.1,-3.9,1.0,20.0,394000.0,78.0,24.0,23.0,1458.0,,0.0,38.0,2.51e-07,1.0,0.0,0.0,4.0,0.0,0.0,0.001,0.027,0.004,0.00398,0.00397,0.0075,2,Loc1_2m|TCP|DL|1,TCP,DL,1,13
Loc1_2m,2026-08-02 15:13:29.010536,0,0.0,0x4601,11.0,1.0,11.0,14400000.0,1131.0,69.0,5.0,795000.0,59046.0,-3.976,24.6,-5.1,1.0,23.0,370000.0,79.0,7.0,8.0,513.0,-4.992,198.0,36.0,2.65e-07,8.0,0.0,0.0,0.0,0.0,0.0,0.001,0.03,0.004,0.004,0.00396,0.0075,2,Loc1_2m|TCP|DL|1,TCP,DL,1,14
Loc1_2m,2026-08-02 15:13:30.010435,0,0.0,0x4601,11.0,1.0,11.0,14400000.0,1125.0,75.0,6.0,709000.0,59046.0,-3.994,23.3,-5.5,1.0,24.0,305000.0,61.0,21.0,25.0,663.0,-4.989,0.0,39.0,2.56e-07,5.0,0.0,0.0,0.0,0.0,0.0,0.001,0.09,0.004,0.004,0.00396,0.00744,2,Loc1_2m|TCP|DL|1,TCP,DL,1,15
Loc1_2m,2026-08-02 15:13:31.010525,0,0.0,0x4601,11.0,1.0,11.0,14500000.0,1149.0,51.0,4.0,639000.0,59046.0,-3.976,20.4,-5.9,1.0,18.0,373000.0,82.0,13.0,13.0,1216.0,,0.0,34.0,2.41e-07,4.0,0.0,0.0,1.0,0.0,0.0,0.001,0.07,0.004,0.00399,0.00397,0.0075,2,Loc1_2m|TCP|DL|1,TCP,DL,1,16
Loc1_2m,2026-08-02 15:13:32.010575,0,0.0,0x4601,12.0,1.0,12.0,16700000.0,1140.0,60.0,5.0,413000.0,59037.0,-3.994,22.6,-5.3,1.0,22.0,476000.0,78.0,20.0,20.0,1172.0,-4.992,535.0,23.0,1.85e-07,-4.0,0.0,0.0,1.0,0.0,0.0,0.001,0.07,0.004,0.00399,0.00396,0.0075,2,Loc1_2m|TCP|DL|1,TCP,DL,1,17
Loc1_2m,2026-08-02 15:13:33.010485,0,0.0,0x4601,10.0,1.0,9.0,13200000.0,1137.0,63.0,5.0,497000.0,59046.0,-3.994,23.2,-2.8,1.0,21.0,347000.0,68.0,18.0,20.0,777.0,-5.0,0.0,37.0,2.3500000000000005e-07,1.0,0.0,0.0,1.0,0.0,0.0,0.001,0.025,0.004,0.00399,0.00396,0.0075,2,Loc1_2m|TCP|DL|1,TCP,DL,1,18
Loc1_2m,2026-08-02 15:13:34.010546,0,0.0,0x4601,10.0,1.0,9.0,13200000.0,1146.0,54.0,4.0,522000.0,59046.0,-3.994,24.4,-4.9,1.0,24.0,315000.0,70.0,18.0,20.0,508.0,-4.996,0.0,33.0,2.15e-07,4.0,0.0,0.0,0.0,0.0,0.0,0.001,0.025,0.004,0.004,0.00396,0.0075,2,Loc1_2m|TCP|DL|1,TCP,DL,1,19
Loc1_2m,2026-08-02 15:13:35.010480,0,0.0,0x4601,10.0,1.0,9.0,13000000.0,1166.0,34.0,2.0,524000.0,59046.0,-3.863,24.7,-2.4,1.0,25.0,343000.0,62.0,19.0,23.0,691.0,-4.998,0.0,39.0,2.470000000000001e-07,2.0,0.0,0.0,0.0,0.0,0.0,0.001,0.09,0.004,0.004,0.00396,0.00744,2,Loc1_2m|TCP|DL|1,TCP,DL,1,20
Loc1_2m,2026-08-02 15:13:48.010543,0,0.0,0x4601,13.0,1.0,14.0,17700000.0,1049.0,78.0,6.0,208000.0,55117.0,-3.994,19.3,-5.2,1.0,18.0,568000.0,104.0,26.0,20.0,2332.0,-4.998,276.0,16.0,1.9400000000000002e-07,3.0,0.0,0.0,9.0,0.0,0.0,0.018,0.07,0.004,0.004,0.00396,0.0075,2,Loc1_2m|TCP|DL|2,TCP,DL,2,5
Loc1_2m,2026-08-02 15:13:49.010560,0,0.0,0x4601,11.0,1.0,11.0,15200000.0,1144.0,56.0,4.0,277000.0,59046.0,-3.994,17.4,-6.5,1.0,14.0,465000.0,120.0,19.0,13.0,2542.0,-4.988,0.0,16.0,2.16e-07,6.0,0.0,0.0,1.0,0.0,0.0,0.001,0.027,0.004,0.004,0.00397,0.0075,2,Loc1_2m|TCP|DL|2,TCP,DL,2,6
Loc1_2m,2026-08-02 15:13:50.010527,0,0.0,0x4601,12.0,1.0,13.0,17400000.0,1125.0,75.0,6.0,284000.0,59046.0,-3.994,24.1,-5.5,1.0,24.0,480000.0,90.0,15.0,14.0,672.0,-4.994,0.0,17.0,2.2900000000000005e-07,2.0,0.0,0.0,0.0,0.0,0.0,0.001,0.027,0.004,0.004,0.00396,0.0075,2,Loc1_2m|TCP|DL|2,TCP,DL,2,7
Loc1_2m,2026-08-02 15:13:51.010576,0,0.0,0x4601,13.0,1.0,14.0,19200000.0,1120.0,80.0,6.0,324000.0,59046.0,-3.994,24.5,-4.7,1.0,24.0,496000.0,81.0,17.0,17.0,744.0,-5.0,0.0,24.0,2.33e-07,3.0,0.0,0.0,0.0,0.0,0.0,0.001,0.03,0.004,0.004,0.00396,0.0075,2,Loc1_2m|TCP|DL|2,TCP,DL,2,8
Loc1_2m,2026-08-02 15:13:52.010507,0,0.0,0x4601,13.0,1.0,15.0,20600000.0,1125.0,75.0,6.0,347000.0,59037.0,-3.994,26.7,-2.2,1.0,26.0,528000.0,82.0,5.0,5.0,595.0,-4.999,142.0,40.0,2.2e-07,4.0,0.0,0.0,0.0,0.0,0.0,0.001,0.025,0.004,0.004,0.00396,0.00744,2,Loc1_2m|TCP|DL|2,TCP,DL,2,9
Loc1_2m,2026-08-02 15:13:53.010511,0,0.0,0x4601,13.0,1.0,15.0,20400000.0,1114.0,72.0,6.0,271000.0,58229.0,-3.994,21.8,-5.0,1.0,21.0,525000.0,88.0,21.0,19.0,1836.0,-4.983,0.0,24.0,2.39e-07,3.0,0.0,0.0,0.0,0.0,0.0,0.012,0.082,0.004,0.004,0.00396,0.0075,2,Loc1_2m|TCP|DL|2,TCP,DL,2,10
Loc1_2m,2026-08-02 15:13:54.010589,0,0.0,0x4601,13.0,1.0,14.0,19200000.0,1117.0,72.0,6.0,190000.0,58239.0,-3.994,20.7,-4.8,1.0,18.0,492000.0,97.0,24.0,19.0,1827.0,-4.994,0.0,25.0,2.3600000000000002e-07,2.0,0.0,0.0,0.0,0.0,0.0,0.009,0.07,0.004,0.004,0.00396,0.0075,2,Loc1_2m|TCP|DL|2,TCP,DL,2,11
Loc1_2m,2026-08-02 15:13:55.010520,0,0.0,0x4601,12.0,1.0,13.0,17600000.0,1118.0,82.0,6.0,252000.0,59046.0,-3.994,22.0,-5.1,1.0,21.0,405000.0,87.0,15.0,14.0,1135.0,-4.994,745.0,29.0,2.4500000000000004e-07,5.0,0.0,0.0,0.0,0.0,0.0,0.001,0.034,0.004,0.004,0.00396,0.00741,2,Loc1_2m|TCP|DL|2,TCP,DL,2,12
