tech,distance_m,protocol,direction,n_active,mean_Mbps,p50_Mbps,p05_Mbps,peak_Mbps,cov,mean_bler,max_bler,mean_mcs,dl_cqi,ul_snr,ul_rsrp,ul_phr,ta_ns
4G,2,TCP,DL,21,26.05,26.0,23.0,30.0,0.11,6.62,16.0,18.24,12.52,14.01,,26.1,
4G,2,TCP,UL,29,13.11,13.0,9.62,17.0,0.19,0.0,0.0,15.69,11.21,12.0,,20.9,
4G,2,UDP,DL,21,21.76,22.0,15.0,27.0,0.23,6.05,19.0,15.38,9.76,14.29,,19.43,
4G,2,UDP,UL,21,17.2,20.0,9.8,23.0,0.32,0.29,3.0,18.62,9.52,15.3,,13.33,
4G,5,TCP,DL,21,23.76,24.0,22.0,29.0,0.12,5.33,16.0,16.24,9.29,14.0,,21.62,
4G,5,TCP,UL,27,15.95,17.0,8.32,18.0,0.18,0.0,0.0,17.56,8.59,14.44,,14.85,
4G,5,UDP,DL,21,22.41,23.0,20.0,28.0,0.2,4.86,15.0,15.52,8.95,14.23,,17.1,
4G,5,UDP,UL,21,15.82,17.0,9.9,19.0,0.2,0.0,0.0,17.48,8.0,14.22,,13.24,
4G,10,TCP,DL,21,10.0,9.6,6.8,13.0,0.21,5.0,12.0,6.48,4.48,12.17,,16.57,
4G,10,TCP,UL,28,12.55,13.0,9.57,16.0,0.18,1.68,6.0,15.14,5.07,11.51,,9.64,
4G,10,UDP,DL,61,10.53,10.0,7.7,14.0,0.19,4.7,12.0,6.79,5.33,11.03,,12.89,
4G,10,UDP,UL,21,14.08,14.0,9.7,17.0,0.18,0.14,3.0,16.19,3.71,12.49,,9.95,
5G,2,TCP,DL,21,29.62,30.0,21.0,39.0,0.19,10.19,34.0,19.48,15.0,4.32,-23.8,-3.33,256.57
5G,2,TCP,UL,47,5.07,4.92,2.27,8.83,0.39,5.21,32.0,9.7,14.43,15.2,-19.9,-1.15,248.38
5G,2,UDP,DL,19,46.26,55.0,27.6,60.0,0.29,12.68,52.0,25.53,15.0,2.92,-22.57,-2.58,257.47
5G,2,UDP,UL,23,4.64,4.66,2.26,6.67,0.28,1.09,12.0,7.78,15.0,13.91,-21.63,-2.17,264.09
5G,5,TCP,DL,20,32.75,29.0,24.0,55.0,0.3,13.45,30.0,18.95,14.15,1.89,-24.88,-0.6,292.15
5G,5,TCP,UL,48,4.38,4.16,3.15,6.21,0.22,0.94,9.0,7.15,13.27,13.9,-19.67,-7.4,281.6
5G,5,UDP,DL,22,50.59,53.0,28.95,56.0,0.18,1.05,12.0,23.82,14.45,4.75,-26.06,-12.82,302.27
5G,5,UDP,UL,33,0.8,0.72,0.55,2.17,0.37,0.67,4.0,0.52,11.97,2.07,-33.14,-18.88,286.79
5G,10,TCP,DL,55,10.25,9.0,6.4,18.0,0.29,46.07,57.0,13.75,10.6,-17.16,-37.36,-13.56,259.87
5G,10,TCP,UL,74,0.58,0.54,0.51,0.95,0.15,1.34,17.0,0.07,12.66,-4.37,-35.5,-13.31,306.97
5G,10,UDP,DL,22,27.73,24.5,21.0,46.0,0.29,5.5,10.0,13.86,11.77,-1.82,-35.55,-12.86,314.14
5G,10,UDP,UL,39,0.54,0.54,0.49,0.71,0.14,1.77,33.0,0.03,10.74,-3.24,-37.04,-14.36,307.56
