tech,distance_m,location,protocol,direction,sample,pci,rnti,dl_cqi,dl_ri,dl_mcs,dl_brate,dl_ok,dl_nok,dl_bler,dl_bs,ul_snr,ul_pucch_snr,ul_rsrp,ul_phr,ul_ri,ul_mcs,ul_brate,ul_ok,ul_nok,ul_bler,ul_bsr,ul_ta
4G,2,Loc_1_2m,TCP,DL,0,1.0,46,11.0,0.0,2.0,3700.0,16.0,8.0,33.0,,5.7,15.1,,17.0,,2.0,63000.0,30.0,3.0,9.0,0.0,
4G,2,Loc_1_2m,TCP,DL,1,1.0,46,9.0,0.0,0.0,392.0,7.0,0.0,0.0,,14.4,16.0,,20.0,,12.0,29000.0,7.0,0.0,0.0,0.0,
4G,2,Loc_1_2m,TCP,DL,2,1.0,46,12.0,0.0,0.0,168.0,3.0,0.0,0.0,,13.1,13.8,,23.0,,12.0,13000.0,3.0,0.0,0.0,0.0,
4G,2,Loc_1_2m,TCP,DL,3,1.0,46,12.0,0.0,0.0,224.0,4.0,0.0,0.0,,7.4,7.7,,20.0,,5.0,24000.0,7.0,0.0,0.0,0.0,
4G,2,Loc_1_2m,TCP,DL,4,1.0,46,12.0,0.0,0.0,280.0,5.0,0.0,0.0,,10.6,12.0,,20.0,,6.0,16000.0,4.0,0.0,0.0,0.0,
4G,2,Loc_1_2m,TCP,DL,5,1.0,46,12.0,0.0,0.0,168.0,3.0,0.0,0.0,,9.7,12.6,,20.0,,9.0,13000.0,3.0,0.0,0.0,0.0,
4G,2,Loc_1_2m,TCP,DL,6,1.0,46,12.0,0.0,0.0,112.0,2.0,0.0,0.0,,6.8,7.6,,18.0,,3.0,12000.0,4.0,0.0,0.0,0.0,
4G,2,Loc_1_2m,TCP,DL,7,1.0,46,13.0,0.0,0.0,504.0,9.0,3.0,25.0,,1.3,4.9,,19.0,,0.0,13000.0,8.0,27.0,77.0,0.0,
4G,2,Loc_1_2m,TCP,DL,8,1.0,46,13.0,0.0,0.0,224.0,4.0,0.0,0.0,,3.1,6.2,,20.0,,1.0,7000.0,4.0,2.0,33.0,0.0,
4G,2,Loc_1_2m,TCP,DL,9,1.0,46,11.0,0.0,0.0,112.0,2.0,0.0,0.0,,12.7,14.5,,19.0,,7.0,9800.0,3.0,0.0,0.0,0.0,
4G,2,Loc_1_2m,TCP,DL,10,1.0,46,12.0,0.0,0.0,280.0,5.0,0.0,0.0,,12.6,17.5,,22.0,,10.0,17000.0,4.0,0.0,0.0,0.0,
4G,2,Loc_1_2m,TCP,DL,11,1.0,46,11.0,0.0,4.0,5600.0,12.0,0.0,0.0,,11.3,16.8,,20.0,,9.0,43000.0,10.0,0.0,0.0,0.0,
4G,2,Loc_1_2m,TCP,DL,12,1.0,46,13.0,0.0,25.0,30000000.0,740.0,148.0,16.0,,9.5,14.8,,20.0,,6.0,988000.0,272.0,1.0,0.0,0.0,
4G,2,Loc_1_2m,TCP,DL,13,1.0,46,13.0,0.0,22.0,30000000.0,858.0,136.0,13.0,,15.2,17.7,,25.0,,14.0,954000.0,217.0,0.0,0.0,0.0,
4G,2,Loc_1_2m,TCP,DL,14,1.0,46,13.0,0.0,20.0,29000000.0,921.0,78.0,7.0,,11.1,13.6,,23.0,,9.0,870000.0,253.0,0.0,0.0,172.0,
4G,2,Loc_1_2m,TCP,DL,15,1.0,46,12.0,0.0,17.0,27000000.0,964.0,35.0,3.0,,13.4,15.7,,23.0,,12.0,751000.0,205.0,0.0,0.0,0.0,
4G,2,Loc_1_2m,TCP,DL,16,1.0,46,12.0,0.0,16.0,24000000.0,944.0,54.0,5.0,,13.8,16.1,,26.0,,13.0,697000.0,201.0,0.0,0.0,0.0,
4G,2,Loc_1_2m,TCP,DL,17,1.0,46,12.0,0.0,17.0,26000000.0,952.0,48.0,4.0,,14.6,16.7,,26.0,,14.0,668000.0,189.0,0.0,0.0,0.0,
4G,2,Loc_1_2m,TCP,DL,18,1.0,46,12.0,0.0,16.0,24000000.0,953.0,48.0,4.0,,15.5,17.7,,27.0,,14.0,516000.0,183.0,0.0,0.0,0.0,
4G,2,Loc_1_2m,TCP,DL,19,1.0,46,11.0,0.0,15.0,23000000.0,953.0,46.0,4.0,,16.2,18.4,,27.0,,15.0,537000.0,183.0,0.0,0.0,0.0,
4G,2,Loc_1_2m,TCP,DL,20,1.0,46,12.0,0.0,17.0,26000000.0,935.0,63.0,6.0,,14.6,16.7,,26.0,,14.0,554000.0,198.0,0.0,0.0,0.0,
4G,2,Loc_1_2m,TCP,DL,21,1.0,46,12.0,0.0,18.0,26000000.0,946.0,52.0,5.0,,14.0,15.8,,26.0,,13.0,619000.0,192.0,0.0,0.0,0.0,
4G,2,Loc_1_2m,TCP,DL,22,1.0,46,13.0,0.0,18.0,27000000.0,920.0,77.0,7.0,,13.3,14.9,,26.0,,13.0,562000.0,178.0,0.0,0.0,0.0,
4G,2,Loc_1_2m,TCP,DL,23,1.0,46,13.0,0.0,18.0,26000000.0,936.0,60.0,6.0,,13.9,15.5,,27.0,,14.0,600000.0,203.0,0.0,0.0,0.0,
4G,2,Loc_1_2m,TCP,DL,24,1.0,46,13.0,0.0,18.0,26000000.0,918.0,79.0,7.0,,14.4,15.8,,27.0,,15.0,616000.0,197.0,0.0,0.0,0.0,
4G,2,Loc_1_2m,TCP,DL,25,1.0,46,12.0,0.0,16.0,25000000.0,982.0,17.0,1.0,,16.2,17.9,,26.0,,16.0,584000.0,186.0,0.0,0.0,0.0,
4G,2,Loc_1_2m,TCP,DL,26,1.0,46,13.0,0.0,18.0,25000000.0,876.0,122.0,12.0,,14.5,16.1,,27.0,,15.0,509000.0,168.0,0.0,0.0,0.0,
4G,2,Loc_1_2m,TCP,DL,27,1.0,46,13.0,0.0,20.0,28000000.0,901.0,96.0,9.0,,12.0,13.7,,27.0,,13.0,576000.0,176.0,0.0,0.0,0.0,
4G,2,Loc_1_2m,TCP,DL,28,1.0,46,13.0,0.0,19.0,29000000.0,953.0,47.0,4.0,,12.0,13.8,,27.0,,13.0,603000.0,196.0,0.0,0.0,0.0,
4G,2,Loc_1_2m,TCP,DL,29,1.0,46,13.0,0.0,19.0,27000000.0,914.0,83.0,8.0,,14.6,16.5,,28.0,,16.0,571000.0,202.0,0.0,0.0,0.0,
4G,2,Loc_1_2m,TCP,DL,30,1.0,46,13.0,0.0,18.0,27000000.0,971.0,26.0,2.0,,15.1,17.1,,27.0,,16.0,609000.0,189.0,0.0,0.0,0.0,
4G,2,Loc_1_2m,TCP,DL,31,1.0,46,13.0,0.0,18.0,26000000.0,909.0,87.0,8.0,,15.3,17.2,,28.0,,17.0,585000.0,192.0,0.0,0.0,0.0,
4G,2,Loc_1_2m,TCP,DL,32,1.0,46,12.0,0.0,18.0,16000000.0,569.0,52.0,8.0,,15.1,17.0,,29.0,,16.0,294000.0,102.0,0.0,0.0,0.0,
4G,2,Loc_1_2m,TCP,DL,33,1.0,46,11.0,0.0,0.0,168.0,3.0,0.0,0.0,,15.1,18.5,,26.0,,18.0,13000.0,3.0,0.0,0.0,0.0,
4G,2,Loc_1_2m,TCP,DL,34,1.0,46,11.0,0.0,0.0,0.0,0.0,0.0,0.0,,,99.9,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,
4G,2,Loc_1_2m,TCP,DL,35,1.0,46,10.0,0.0,0.0,168.0,3.0,0.0,0.0,,15.2,17.5,,25.0,,18.0,13000.0,3.0,0.0,0.0,0.0,
4G,2,Loc_1_2m,TCP,UL,0,1.0,46,11.0,0.0,2.0,4800.0,14.0,0.0,0.0,,15.3,20.5,,21.0,,11.0,104000.0,15.0,0.0,0.0,0.0,
4G,2,Loc_1_2m,TCP,UL,1,1.0,46,11.0,0.0,0.0,112.0,2.0,0.0,0.0,,15.0,20.5,,24.0,,14.0,4100.0,1.0,0.0,0.0,0.0,
4G,2,Loc_1_2m,TCP,UL,2,1.0,46,12.0,0.0,7.0,176000.0,242.0,0.0,0.0,,16.1,20.4,,20.0,,16.0,7500000.0,534.0,0.0,0.0,137000.0,
4G,2,Loc_1_2m,TCP,UL,3,1.0,46,11.0,0.0,7.0,404000.0,528.0,1.0,0.0,,16.4,,,18.0,,17.0,15000000.0,1000.0,0.0,0.0,135000.0,
4G,2,Loc_1_2m,TCP,UL,4,1.0,46,11.0,0.0,8.0,328000.0,415.0,0.0,0.0,,14.7,,,19.0,,16.0,14000000.0,1000.0,0.0,0.0,141000.0,
4G,2,Loc_1_2m,TCP,UL,5,1.0,46,11.0,0.0,7.0,312000.0,428.0,0.0,0.0,,13.2,,,19.0,,15.0,13000000.0,1000.0,0.0,0.0,138000.0,
4G,2,Loc_1_2m,TCP,UL,6,1.0,46,11.0,0.0,7.0,261000.0,349.0,1.0,0.0,,14.1,,,19.0,,18.0,16000000.0,1000.0,0.0,0.0,135000.0,
4G,2,Loc_1_2m,TCP,UL,7,1.0,46,11.0,0.0,7.0,254000.0,337.0,0.0,0.0,,13.3,,,21.0,,18.0,16000000.0,1000.0,0.0,0.0,138000.0,
4G,2,Loc_1_2m,TCP,UL,8,1.0,46,12.0,0.0,6.0,160000.0,235.0,0.0,0.0,,13.2,,,19.0,,18.0,16000000.0,1000.0,0.0,0.0,136000.0,
4G,2,Loc_1_2m,TCP,UL,9,1.0,46,12.0,0.0,7.0,167000.0,234.0,0.0,0.0,,14.8,,,19.0,,19.0,17000000.0,1000.0,0.0,0.0,135000.0,
4G,2,Loc_1_2m,TCP,UL,10,1.0,46,11.0,0.0,6.0,165000.0,249.0,1.0,0.0,,14.6,,,19.0,,19.0,17000000.0,1000.0,0.0,0.0,135000.0,
4G,2,Loc_1_2m,TCP,UL,11,1.0,46,10.0,0.0,5.0,128000.0,211.0,0.0,0.0,,12.8,,,20.0,,17.0,16000000.0,1000.0,0.0,0.0,135000.0,
4G,2,Loc_1_2m,TCP,UL,12,1.0,46,9.0,0.0,5.0,101000.0,187.0,1.0,0.0,,13.7,,,21.0,,18.0,17000000.0,1000.0,0.0,0.0,135000.0,
4G,2,Loc_1_2m,TCP,UL,13,1.0,46,11.0,0.0,5.0,106000.0,184.0,2.0,1.0,,12.2,,,21.0,,17.0,15000000.0,1000.0,0.0,0.0,138000.0,
4G,2,Loc_1_2m,TCP,UL,14,1.0,46,12.0,0.0,5.0,113000.0,198.0,0.0,0.0,,11.3,,,21.0,,16.0,14000000.0,1000.0,0.0,0.0,138000.0,
4G,2,Loc_1_2m,TCP,UL,15,1.0,46,11.0,0.0,5.0,108000.0,198.0,0.0,0.0,,11.6,,,21.0,,17.0,14000000.0,1000.0,0.0,0.0,138000.0,
4G,2,Loc_1_2m,TCP,UL,16,1.0,46,12.0,0.0,5.0,105000.0,191.0,0.0,0.0,,10.8,,,21.0,,15.0,13000000.0,999.0,0.0,0.0,141000.0,
4G,2,Loc_1_2m,TCP,UL,17,1.0,46,12.0,0.0,5.0,91000.0,177.0,0.0,0.0,,9.3,,,22.0,,13.0,11000000.0,1001.0,0.0,0.0,141000.0,
4G,2,Loc_1_2m,TCP,UL,18,1.0,46,11.0,0.0,5.0,116000.0,213.0,0.0,0.0,,10.6,,,22.0,,15.0,13000000.0,1000.0,0.0,0.0,138000.0,
4G,2,Loc_1_2m,TCP,UL,19,1.0,46,12.0,0.0,5.0,102000.0,186.0,0.0,0.0,,11.0,,,22.0,,15.0,13000000.0,1000.0,0.0,0.0,141000.0,
4G,2,Loc_1_2m,TCP,UL,20,1.0,46,11.0,0.0,5.0,89000.0,164.0,0.0,0.0,,10.1,,,22.0,,14.0,11000000.0,999.0,0.0,0.0,141000.0,
4G,2,Loc_1_2m,TCP,UL,21,1.0,46,11.0,0.0,5.0,93000.0,178.0,0.0,0.0,,10.1,,,22.0,,14.0,11000000.0,1001.0,0.0,0.0,141000.0,
4G,2,Loc_1_2m,TCP,UL,22,1.0,46,11.0,0.0,5.0,113000.0,200.0,0.0,0.0,,10.2,,,22.0,,14.0,12000000.0,1000.0,0.0,0.0,138000.0,
